Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price(€),Extended Price(€),Product Link
1,C18723014,X069-9616TSWIG02-H14,Wisevision,-,,"0.69 96x16 SSD1312 chip I2C LCD, OLED, Graphic RoHS",yes,4,1,1,1.4487,5.79,https://www.lcsc.com/product-detail/C18723014.html
2,C19274408,SC7A20HTR,Hangzhou Silan Microelectronics,LGA-12(2x2),,LGA-12(2x2) Accelerometers RoHS,yes,3,1,1,0.2588,0.78,https://www.lcsc.com/product-detail/C19274408.html
3,C17701150,MTQH201612S3R3MBT,MetalLions,0806,,2.4A 3.3uH ±20% 135mΩ 2.7A Magnetic Shielded Inductor 0806 Fixed Inductors RoHS,yes,10,10,10,0.0384,0.38,https://www.lcsc.com/product-detail/C17701150.html
4,C41398747,GT-TS201A-H0065-L1,G-Switch,"SMD,2.8x1.9mm",,Tactile Switch SPST 180gf 0.65mm SMD (SMT) Tab 2.8mm x 1.9mm Surface Mount,yes,10,10,10,0.0533,0.53,https://www.lcsc.com/product-detail/C41398747.html
5,C5345938,HC-TYPE-C-24P-CP1.0-5A-L8.8-01,HCTL,SMD,,USB-C (USB TYPE-C) Receptacle Connector 24 Position Clamp Plate,yes,5,1,1,0.4833,2.42,https://www.lcsc.com/product-detail/C5345938.html
6,C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,0603,,100nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0138,1.38,https://www.lcsc.com/product-detail/C1591.html
7,C7432770,HGC0603R5226M100NTHJ,Chinocera,0603,,22uF ±20% 10V Ceramic Capacitor X5R 0603,yes,50,10,10,0.0530,2.65,https://www.lcsc.com/product-detail/C7432770.html
8,C5301790,SMTSOM205BTR,YIYUAN,-,,"Board Spacers, Standoffs RoHS",yes,10,5,5,0.0554,0.55,https://www.lcsc.com/product-detail/C5301790.html
9,C49326311,0603C0G221J500NT,AIDE CAPACITOR,0603,,220pF C0G ±5% 50V 0603 Ceramic Capacitors RoHS,yes,100,100,100,0.0030,0.30,https://www.lcsc.com/product-detail/C49326311.html
10,C14677,RC0603JR-075K1L,YAGEO,0603,,100mW 5.1kΩ 75V Thick Film Resistor ±100ppm/℃ ±5% 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0021,0.21,https://www.lcsc.com/product-detail/C14677.html
11,C844140,CRCW06031M00FKEB,VISHAY,0603,,100mW 1MΩ Thick Film Resistor ±100ppm/℃ ±1% 0603 Chip Resistor - Surface Mount RoHS,yes,20,20,20,0.0031,0.06,https://www.lcsc.com/product-detail/C844140.html
12,C212300,BAV199T-7-F,DIODES,SOT-523,,Diode Array 1 Pair Series Connection 85V 215mA Surface Mount SOT-523,yes,5,5,5,0.0835,0.42,https://www.lcsc.com/product-detail/C212300.html
13,C54921059,HRC0603J564 ENTN,HWA CHN,0603,,560kΩ 100mW 50V Thick Film Resistor ±5% ±100ppm/℃ 0603 Chip Resistor - Surface Mount RoHS,yes,100,100,100,0.0010,0.10,https://www.lcsc.com/product-detail/C54921059.html
14,C376813,TCC0603X7R153K500CT,CCTC,0603,,15nF ±10% 50V Ceramic Capacitor X7R 0603,yes,100,100,100,0.0070,0.70,https://www.lcsc.com/product-detail/C376813.html
15,C3833060,GRM188R61E106MA73J,muRata,0603,,10uF ±20% 25V Ceramic Capacitor X5R 0603,yes,60,20,20,0.0390,2.34,https://www.lcsc.com/product-detail/C3833060.html
16,C217281,CR-03JL7---10K,Viking,0603,,10kΩ ±5% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C217281.html
17,C2907002,FRC0603F1001TS,FOJAN,0603,,1kΩ ±1% 100mW 0603 Thick Film Resistor,yes,100,100,100,0.0013,0.13,https://www.lcsc.com/product-detail/C2907002.html
18,C6119855,CGA0603X5R475K160JT,HRE,0603,,4.7uF ±10% 16V Ceramic Capacitor X5R 0603,yes,20,20,20,0.0204,0.41,https://www.lcsc.com/product-detail/C6119855.html
19,C49490376,HCTC-160808-4R7-M,YOUCHI,0603,,1A 4.7uH ±20% 585mΩ 1.2A Molded Inductor 0603 Fixed Inductors RoHS,yes,5,5,5,0.0859,0.43,https://www.lcsc.com/product-detail/C49490376.html
